target_key,rho,efficacy,collateral,neighbor_count,neighbors_observed,neighbors_full_correct,gap_term
cf-19274,0.85,0.0,0.0,5,5,5,1.0
cf-19274,0.8,0.0,0.0,5,5,5,1.0
cf-19274,0.75,0.0,0.0,5,5,5,1.0
cf-19274,0.7,0.0,0.0,5,5,5,1.0
cf-19282,0.95,0.0,0.0,11,11,11,1.0
cf-19282,0.9,1.0,0.0,11,11,11,0.0
cf-19282,0.85,0.0,0.0,11,11,11,1.0
cf-19282,0.8,0.0,0.0,11,11,11,1.0
cf-19282,0.75,1.0,0.0,11,11,11,0.0
cf-19282,0.7,1.0,0.0,11,11,11,0.0
cf-19284,0.95,1.0,0.0,5,5,5,0.0
cf-19284,0.9,1.0,0.0,5,5,5,0.0
cf-19284,0.85,1.0,0.0,5,5,5,0.0
cf-19284,0.8,1.0,0.0,5,5,5,0.0
cf-19284,0.75,1.0,0.0,5,5,5,0.0
cf-19284,0.7,1.0,0.0,5,5,5,0.0
cf-1929,0.95,0.0,0.0,20,20,20,1.0
cf-1929,0.9,0.0,0.0,20,20,20,1.0
cf-1929,0.85,0.0,0.0,20,20,20,1.0
cf-1929,0.8,0.0,0.0,20,20,20,1.0
cf-1929,0.75,0.0,0.0,20,20,20,1.0
cf-1929,0.7,0.0,0.0,20,20,20,1.0
cf-19297,0.95,0.0,0.0,6,6,6,1.0
cf-19297,0.9,0.0,0.0,6,6,6,1.0
cf-19297,0.85,0.0,0.0,6,6,6,1.0
cf-19297,0.8,0.0,0.0,6,6,6,1.0
cf-19297,0.75,0.0,0.0,6,6,6,1.0
cf-19297,0.7,1.0,0.0,6,6,6,0.0
cf-19316,0.95,0.0,0.0,20,20,20,1.0
cf-19316,0.9,0.0,0.0,20,20,20,1.0
cf-19316,0.85,0.0,0.0,20,20,20,1.0
cf-19316,0.8,0.0,0.0,20,20,20,1.0
cf-19316,0.75,1.0,0.0,20,20,20,0.0
cf-19316,0.7,1.0,0.0,20,20,20,0.0
cf-19324,0.95,0.0,0.0,5,5,5,1.0
cf-19324,0.9,1.0,0.0,5,5,5,0.0
cf-19324,0.85,0.0,0.0,5,5,5,1.0
cf-19324,0.8,0.0,0.0,5,5,5,1.0
cf-19324,0.75,1.0,0.0,5,5,5,0.0
cf-19324,0.7,1.0,0.0,5,5,5,0.0
cf-19329,0.95,1.0,0.0,5,5,5,0.0
cf-19329,0.9,1.0,0.0,5,5,5,0.0
cf-19329,0.85,1.0,0.0,5,5,5,0.0
cf-19329,0.8,1.0,0.0,5,5,5,0.0
cf-19329,0.75,1.0,0.0,5,5,5,0.0
cf-19329,0.7,0.0,0.0,5,5,5,1.0
cf-1933,0.95,0.0,0.0,20,20,20,1.0
cf-1933,0.9,0.0,0.0,20,20,20,1.0
cf-1933,0.85,0.0,0.0,20,20,20,1.0
cf-1933,0.8,0.0,0.0,20,20,20,1.0
cf-1933,0.75,0.0,0.05,20,20,20,1.05
cf-1933,0.7,0.0,0.05,20,20,20,1.05
cf-19330,0.95,0.0,0.0,5,5,5,1.0
cf-19330,0.9,0.0,0.0,5,5,5,1.0
cf-19330,0.85,0.0,0.0,5,5,5,1.0
cf-19330,0.8,0.0,0.0,5,5,5,1.0
cf-19330,0.75,0.0,0.0,5,5,5,1.0
cf-19330,0.7,0.0,0.0,5,5,5,1.0
cf-19332,0.95,0.0,0.0,20,20,20,1.0
cf-19332,0.9,0.0,0.0,20,20,20,1.0
cf-19332,0.85,0.0,0.0,20,20,20,1.0
cf-19332,0.8,0.0,0.0,20,20,20,1.0
cf-19332,0.75,0.0,0.0,20,20,20,1.0
cf-19332,0.7,0.0,0.0,20,20,20,1.0
cf-19338,0.95,1.0,0.0,5,5,5,0.0
cf-19338,0.9,1.0,0.0,5,5,5,0.0
cf-19338,0.85,1.0,0.0,5,5,5,0.0
cf-19338,0.8,1.0,0.0,5,5,5,0.0
cf-19338,0.75,0.0,0.0,5,5,5,1.0
cf-19338,0.7,1.0,0.0,5,5,5,0.0
cf-19340,0.95,1.0,0.0,5,5,5,0.0
cf-19340,0.9,1.0,0.0,5,5,5,0.0
cf-19340,0.85,1.0,0.0,5,5,5,0.0
cf-19340,0.8,1.0,0.0,5,5,5,0.0
cf-19340,0.75,1.0,0.0,5,5,5,0.0
cf-19340,0.7,1.0,0.0,5,5,5,0.0
cf-19343,0.95,0.0,0.0,20,20,20,1.0
cf-19343,0.9,0.0,0.0,20,20,20,1.0
cf-19343,0.85,0.0,0.0,20,20,20,1.0
cf-19343,0.8,0.0,0.0,20,20,20,1.0
cf-19343,0.75,0.0,0.0,20,20,20,1.0
cf-19343,0.7,1.0,0.0,20,20,20,0.0
cf-19358,0.95,0.0,0.0,20,20,20,1.0
cf-19358,0.9,0.0,0.0,20,20,20,1.0
cf-19358,0.85,0.0,0.0,20,20,20,1.0
cf-19358,0.8,0.0,0.0,20,20,20,1.0
cf-19358,0.75,0.0,0.05,20,20,20,1.05
cf-19358,0.7,1.0,0.0,20,20,20,0.0
cf-19371,0.95,0.0,0.0,18,18,18,1.0
cf-19371,0.9,0.0,0.0,18,18,18,1.0
cf-19371,0.85,0.0,0.0,18,18,18,1.0
cf-19371,0.8,0.0,0.0,18,18,18,1.0
cf-19371,0.75,0.0,0.0,18,18,18,1.0
cf-19371,0.7,1.0,0.0,18,18,18,0.0
cf-19373,0.95,0.0,0.0,5,5,5,1.0
cf-19373,0.9,0.0,0.0,5,5,5,1.0
cf-19373,0.85,0.0,0.0,5,5,5,1.0
cf-19373,0.8,0.0,0.0,5,5,5,1.0
cf-19373,0.75,1.0,0.0,5,5,5,0.0
cf-19373,0.7,1.0,0.0,5,5,5,0.0
cf-19374,0.95,0.0,0.0,5,5,5,1.0
cf-19374,0.9,0.0,0.0,5,5,5,1.0
cf-19374,0.85,0.0,0.0,5,5,5,1.0
cf-19374,0.8,0.0,0.0,5,5,5,1.0
cf-19374,0.75,1.0,0.0,5,5,5,0.0
cf-19374,0.7,1.0,0.0,5,5,5,0.0
cf-19375,0.95,0.0,0.0,20,20,20,1.0
cf-19375,0.9,0.0,0.0,20,20,20,1.0
cf-19375,0.85,0.0,0.0,20,20,20,1.0
cf-19375,0.8,0.0,0.0,20,20,20,1.0
cf-19375,0.75,0.0,0.0,20,20,20,1.0
cf-19375,0.7,0.0,0.0,20,20,20,1.0
cf-19377,0.95,0.0,0.0,20,20,20,1.0
cf-19377,0.9,0.0,0.0,20,20,20,1.0
cf-19377,0.85,0.0,0.0,20,20,20,1.0
cf-19377,0.8,0.0,0.0,20,20,20,1.0
cf-19377,0.75,0.0,0.0,20,20,20,1.0
cf-19377,0.7,1.0,0.0,20,20,20,0.0
cf-1938,0.95,0.0,0.0,20,20,20,1.0
cf-1938,0.9,0.0,0.0,20,20,20,1.0
cf-1938,0.85,0.0,0.0,20,20,20,1.0
cf-1938,0.8,0.0,0.0,20,20,20,1.0
cf-1938,0.75,1.0,0.05,20,20,20,0.05
cf-1938,0.7,0.0,0.05,20,20,20,1.05
cf-19382,0.95,0.0,0.0,20,20,20,1.0
